Unnamed: 0,id,account_name,facebook_id,twitter_id,instagram_id,youtube_id,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
165,a-63b192ec509c11eb9aea8c8590014502,กับข้าวกับปลาโอ Plaocooking,758977000000000,0,6916356845,UCsUtjQKoCERAMpOmQKU26RA,Food,81663726,0,7636,1186802,7048969.0,0.0,7708.0,1970000.0,918,0,23,253,82858164,9026677.0,1194,Mega
166,a-63b35f00509c11eb9aea8c8590014502,Lullafoods,1584230000000000,7.95309e+,1407288514,UCxKihqN9GYqEYAfp48WMbiw,Food,92127,0,704,10,65866.0,0.0,2389.0,133.0,1234,0,33,1,92841,68388.0,1268,Micro
167,a-63b2d0ee509c11eb9aea8c8590014502,Eat Here,657926000000000,0,1592458612,0,Food,3370932,0,2641421,0,654958.0,0.0,299603.0,0.0,15942,0,1131,0,6012353,954561.0,17073,Macro
168,a-63b2d648509c11eb9aea8c8590014502,Eat Lek Lek,185130000000000,9.46562e+,21138307,0,Food,20619,0,1077895,0,19407.0,0.0,178615.0,0.0,612,0,409,0,1098514,198022.0,1021,Macro
169,a-63b0c628509c11eb9aea8c8590014502,พาทำ พาทาน,168286000000000,0,0,UCnXiBuuvfE53NG92rffDS5Q,Food,8957878,0,0,1659,2701531.0,0.0,0.0,7290.0,1494,0,0,15,8959537,2708821.0,1509,Mega
170,a-63b0995a509c11eb9aea8c8590014502,ST Cooking,1319020000000000,0,0,0,Food,933770,0,0,0,1642390.0,0.0,0.0,0.0,2451,0,0,0,933770,1642390.0,2451,Mega
171,a-63b37dbe509c11eb9aea8c8590014502,MyQuest,108070000000000,0,0,UCoea0oWviczbjBpbxuP5h7w,Food,0,0,0,387202,0.0,0.0,0.0,236000.0,0,0,0,78,387202,236000.0,78,Macro
172,a-63b25510509c11eb9aea8c8590014502,ตายายสอนหลาน,1853130000000000,0,0,UC8ZofBq1vvxTrnv8lAlW5PQ,Food,815544,0,0,1425,251797.0,0.0,0.0,3620.0,363,0,0,22,816969,255417.0,385,Macro
173,a-63b3e1aa509c11eb9aea8c8590014502,กินไปเหอะ,302141000000000,1.13795e+,8739794978,0,Food,7662125,0,24734,0,575600.0,0.0,12031.0,0.0,5424,0,87,0,7686859,587631.0,5511,Macro
174,a-63b126f4509c11eb9aea8c8590014502,KLANG KITCHEN,0,0,0,UCD3NAVZLz-wcAwXcqYtXaWw,Food,0,0,0,905,0.0,0.0,0.0,1950.0,0,0,0,11,905,1950.0,11,Nano
175,a-63b3765c509c11eb9aea8c8590014502,Mawinfinferrr,458176000000000,0,1291852857,UC-Ns489h7BKZIgrbDm7ge-Q,Food,24077771,0,7395343,419890,940636.0,0.0,486809.0,353000.0,607,0,475,196,31893004,1780445.0,1278,Mega
176,a-63b170dc509c11eb9aea8c8590014502,finfincooking,0,0,1162033355,UCY43hRVkn0HJw99acoJvxqg,Food,0,0,1413567,1199,0.0,0.0,700412.0,11000.0,0,0,248,75,1414766,711412.0,323,Macro
177,a-63b13086509c11eb9aea8c8590014502,MENUZAPZAP,109542000000000,0,0,UCMJN3MEfjLf2D79h8626Grw,Food,0,0,0,1627,0.0,0.0,0.0,501.0,0,0,0,57,1627,501.0,57,End-user
178,a-63b1582c509c11eb9aea8c8590014502,Sek Food&DIY Sek Food&DIY,0,0,0,UCMGPnUnEY1tSRy17puVSSOw,Food,0,0,0,20342,0.0,0.0,0.0,144000.0,0,0,0,178,20342,144000.0,178,Macro
179,a-63b16650509c11eb9aea8c8590014502,aimmafiaz,0,0,1506195983,0,Food,0,0,1462052,0,0.0,0.0,474781.0,0.0,0,0,558,0,1462052,474781.0,558,Macro
180,a-63b04db0509c11eb9aea8c8590014502,Chef Gai Thanunya,370797000000000,0,0,0,Food,207350,0,0,0,121548.0,0.0,0.0,0.0,144,0,0,0,207350,121548.0,144,Macro
181,a-63b1f750509c11eb9aea8c8590014502,เข้าครัวกัน Chanel,110562000000000,0,0,UCn2JVS26om4lXo4zj3gdY6A,Food,14727,0,0,4207,727.0,0.0,0.0,1030.0,30,0,0,11,18934,1757.0,41,Nano
182,a-63b05bac509c11eb9aea8c8590014502,Chef Nan - เชฟน่าน,167948000000000,0,0,0,Food,159258,0,0,0,147533.0,0.0,0.0,0.0,288,0,0,0,159258,147533.0,288,Macro
183,a-63b38854509c11eb9aea8c8590014502,PPgallery,683770000000000,8.2381e+,13829474,UCSg5CAlH-heln5MjnqUL0GA,Food,0,0,994549,157,0.0,0.0,473356.0,5310.0,0,0,409,6,994706,478666.0,415,Macro
184,a-63b416ca509c11eb9aea8c8590014502,พรุ่งนี้ค่อยลด,1800730000000000,1.092e+,26600279,UCHPArazAwpCeOL3jkkDR9xQ,Food,858204,0,3102,658,135164.0,0.0,949.0,3140.0,4766,0,78,4,861964,139253.0,4848,Macro
185,a-63b08fb4509c11eb9aea8c8590014502,Poiluang Cooking,1894490000000000,0,0,0,Food,8650,0,0,0,6461.0,0.0,0.0,0.0,424,0,0,0,8650,6461.0,424,Nano
186,a-63b2ec32509c11eb9aea8c8590014502,Eatoutbkk,1404320000000000,1.23492e+,582010445,0,Food,6364,0,207333,0,110177.0,0.0,426074.0,0.0,1132,0,225,0,213697,536251.0,1357,Macro
187,a-63b0d0aa509c11eb9aea8c8590014502,ศุภชัย เสมอมิตร โหน่งโชว์,478890000000000,0,0,UCl9RgD6kroIYr4iuLOLFrxQ,Food,9044897,0,0,401770,1981136.0,0.0,0.0,880000.0,559,0,0,350,9446667,2861136.0,909,Mega
